Organisation.1,Relationship,Organisation.2
World Bank Trust Funds,receives activity funding from,Ministry of Foreign Affairs of  Japan
MannionDaniels,provides transaction funding to,LAMB Health Care Foundation
Commune de Klouékanmè - Bénin,receives transaction funding from,Ministère de l'Economie et des Finances du Bénin
Plan International Netherlands,receives transaction funding from,ZOA
"UK - Foreign, Commonwealth and Development Office",has project implemented by,University of Birmingham
PAX,receives transaction funding from,Oxfam Novib
CISU,receives activity funding from,"Denmark - Ministry of Foreign Affairs, Danida"
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Fondo Centroamericano de Mujeres
HelpAge International,receives activity funding from,Oxfam GB
Belgian development agency (Enabel),receives activity funding from,VVOB Education for Development
International Trade Centre (ITC),receives activity funding from,"IDH, the Sustainable Trade Initiative"
Charity Projects Ltd (Comic Relief),is accountable to,Twin
Sightsavers,provides transaction funding to,Sense International
Relief International UK,receives transaction funding from,Girls’ Education Challenge – Fund Manager PwC
United Nations Children's Fund (UNICEF),receives activity funding from,Netherlands - Ministry of Foreign Affairs
TEAR fund Nederland,receives transaction funding from,SOS Children's Villages The Netherlands
MannionDaniels,has project implemented by,Bees for Development Trust
Simavi,provides transaction funding to,Wetlands International
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Association of Commonwealth Universities
Ministère de l'Economie et des Finances du Bénin,has project implemented by,Commune de Bopa - Bénin
Itad,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Amref Flying Doctors,has project implemented by,Akvo Foundation
openmindedly,provides transaction funding to,WWF-UK
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Save the Children International
partos,receives activity funding from,Hivos
Danish Refugee Council,has project implemented by,Norwegian Refugee Council
Centre National de Coopération au Développement (CNCD-11.11.11),is accountable to,Centre Tricontinental - CETRI
"UK - Foreign, Commonwealth and Development Office",has project implemented by,United Nations Population Fund
"Institut National de l'Eau, Benin",receives activity funding from,Ministère de l'Economie et des Finances du Bénin
International Organization for Migration (IOM),receives transaction funding from,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme
Terre des Hommes Netherlands,receives transaction funding from,SOS Children's Villages The Netherlands
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",has project implemented by,European Bank for Reconstruction and Development
PATH,provides transaction funding to,Oxford Policy Management
Dorcas Aid International,receives activity funding from,CARE Nederland
International IDEA,has project implemented by,United States Agency for International Development (USAID)
Netherlands Red Cross,receives transaction funding from,European Commission - Humanitarian Aid & Civil Protection
Concordis International,has budget/direction managed by,MannionDaniels
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,MAG
Adam Smith International,receives transaction funding from,Norad - Norwegian Agency for Development Cooperation
World Federalist Movement - Institute for Global Policy,receives activity funding from,GPPAC Foundation
Saferworld,receives activity funding from,Canada - International Development Research Centre/Centre de recherches pour le développement international
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,Terre des Hommes Netherlands
Orbis International,provides transaction funding to,Orbis Africa
Akvo Foundation,receives activity funding from,Simavi
Hope and Homes for Children,receives transaction funding from,MannionDaniels
Danish Refugee Council,receives transaction funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
ActionAid Rwanda,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,AgDevCo
COMMISSION JUSTICE ET PAIX ASBL (cjp),receives transaction funding from,Belgian Development Cooperation
CGIAR,receives activity funding from,United Nations Office for Project Services (UNOPS)
United Nations High Commissioner for Refugees (UNHCR),receives transaction funding from,Bill & Melinda Gates Foundation
Elrha,has project implemented by,Heartland Alliance International
Nepal Disabled Human Rights Center,receives transaction funding from,Disability and Development Partners
Mama Cash,provides transaction funding to,Association for Women's Rights in Development (AWID)
Social Development Direct Limited,receives transaction funding from,Christian Aid
BBC Media Action,receives transaction funding from,The International Rescue Committee
"Namati, Inc",receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Overseas Development Institute,receives activity funding from,Oxfam GB
DAI Europe,has project implemented by,International Alert
ICCO Cooperation,receives activity funding from,DAI Global Health
Netherlands Enterprise Agency,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Plan International UK,receives activity funding from,The World Bank
International Organization for Migration (IOM),receives activity funding from,"Gavi, the vaccine alliance"
LTS International Limited,has project implemented by,SNV Netherlands Development Organisation
Malaria Consortium,provides transaction funding to,MannionDaniels
The National Association of Municipalities of Benin (ANCB),has project implemented by,Commune de Akpro-Missérété - Bénin
World Federalist Movement - Institute for Global Policy,receives transaction funding from,GPPAC Foundation
Disasters Emergency Committee,provides transaction funding to,Action Against Hunger UK
Guttmacher Institute,provides transaction funding to,Kwame Nkrumah University of Science and Technology
Sightsavers,has project implemented by,Leonard Cheshire Disability
Overseas Development Institute,receives transaction funding from,Hivos
Ministère de l'Economie et des Finances du Bénin,has project implemented by,Commune de Adja-Ouere - Bénin
Ministère de l'Economie et des Finances du Bénin,provides transaction funding to,Commune de Pobè - Bénin
Stichting Onderzoek Multinationale Ondernemingen (SOMO),receives transaction funding from,Both ENDS
Bond,receives transaction funding from,Charity Projects Ltd (Comic Relief)
MannionDaniels,has project implemented by,Afghanaid
Search for Common Ground (SFCG),receives activity funding from,The International Rescue Committee
The International Rescue Committee,receives transaction funding from,International Rescue Committee UK
PricewaterhouseCoopers Private Limited India,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
United Nations High Commissioner for Refugees (UNHCR),receives activity funding from,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme
The National Association of Municipalities of Benin (ANCB),has project implemented by,Commune de Comè - Bénin
Netherlands Enterprise Agency,has project implemented by,Netherlands Red Cross
Health Poverty Action,provides transaction funding to,Link Community Development International
United Nations High Commissioner for Refugees (UNHCR),receives transaction funding from,OCHA Country Based Pooled Funds
Overseas Development Institute,receives transaction funding from,Oxfam GB
ACTIONAID INTERNATIONAL KENYA,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
